ARL,SDRL,MRL,L,Phi,Delta
1.02,0.13999999999999999,1.0,2.514,0.1,0.0
1.2,0.565685424949238,1.0,2.767,0.25,0.0
1.44,0.9414881836751857,1.0,2.807,0.5,0.0
1.0,0.0,1.0,2.514,0.1,0.25
1.26,0.8674099376880576,1.0,2.767,0.25,0.25
1.26,0.6575712889109439,1.0,2.807,0.5,0.25
1.0,0.0,1.0,2.514,0.1,0.5
1.06,0.31048349392520047,1.0,2.767,0.25,0.5
1.26,0.5589275444992848,1.0,2.807,0.5,0.5
1.0,0.0,1.0,2.514,0.1,0.75
1.12,0.6209669878504009,1.0,2.767,0.25,0.75
1.14,0.44766058571198786,1.0,2.807,0.5,0.75
1.0,0.0,1.0,2.514,0.1,1.0
1.0,0.0,1.0,2.767,0.25,1.0
1.08,0.2712931993250107,1.0,2.807,0.5,1.0
1.0,0.0,1.0,2.514,0.1,1.25
1.0,0.0,1.0,2.767,0.25,1.25
1.12,0.6209669878504009,1.0,2.807,0.5,1.25
1.0,0.0,1.0,2.514,0.1,1.5
1.0,0.0,1.0,2.767,0.25,1.5
1.06,0.31048349392520047,1.0,2.807,0.5,1.5
1.0,0.0,1.0,2.514,0.1,1.75
1.0,0.0,1.0,2.767,0.25,1.75
1.04,0.19595917942265428,1.0,2.807,0.5,1.75
1.0,0.0,1.0,2.514,0.1,2.0
1.0,0.0,1.0,2.767,0.25,2.0
1.0,0.0,1.0,2.807,0.5,2.0
1.0,0.0,1.0,2.514,0.1,2.25
1.0,0.0,1.0,2.767,0.25,2.25
1.0,0.0,1.0,2.807,0.5,2.25
1.0,0.0,1.0,2.514,0.1,2.5
1.0,0.0,1.0,2.767,0.25,2.5
1.0,0.0,1.0,2.807,0.5,2.5
1.0,0.0,1.0,2.514,0.1,2.75
1.0,0.0,1.0,2.767,0.25,2.75
1.0,0.0,1.0,2.807,0.5,2.75
1.0,0.0,1.0,2.514,0.1,3.0
1.0,0.0,1.0,2.767,0.25,3.0
1.0,0.0,1.0,2.807,0.5,3.0
