ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
201.4875,199.25149772021788,139.0,8.775,0.1,0.01,0.0,"phi=0.1,phi2=0.01"
195.9196,194.51308911186413,136.0,8.775,0.1,0.05,0.0,"phi=0.1,phi2=0.05"
205.6267,155.71045869532978,163.0,9.0,0.1,0.09,0.0,"phi=0.1,phi2=0.09"
197.50985,191.38728720314077,136.0,10.0,0.25,0.05,0.0,"phi=0.25,phi2=0.05"
203.30325,194.9017921657918,143.0,10.125,0.25,0.1,0.0,"phi=0.25,phi2=0.1"
211.72705,190.7182305085109,153.0,10.35,0.25,0.2,0.0,"phi=0.25,phi2=0.2"
24.2347,19.615861334899368,19.0,8.775,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
23.08785,16.820405238206956,19.0,8.775,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
43.16035,18.316024073949563,41.0,9.0,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
35.5213,31.93426132400748,26.0,10.0,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
33.35675,28.26849800462522,25.0,10.125,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
38.37585,23.365686096870768,33.0,10.35,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
7.7081,5.055540959185278,7.0,8.775,0.1,0.01,0.5,"phi=0.1,phi2=0.01"
8.35185,4.760362546855019,7.0,8.775,0.1,0.05,0.5,"phi=0.1,phi2=0.05"
20.04905,7.8522508936928395,20.0,9.0,0.1,0.09,0.5,"phi=0.1,phi2=0.09"
9.58805,6.596995315861608,8.0,10.0,0.25,0.05,0.5,"phi=0.25,phi2=0.05"
9.8396,6.25259720756103,8.0,10.125,0.25,0.1,0.5,"phi=0.25,phi2=0.1"
15.3784,6.676002804073708,15.0,10.35,0.25,0.2,0.5,"phi=0.25,phi2=0.2"
4.03425,2.3593170489571764,4.0,8.775,0.1,0.01,0.75,"phi=0.1,phi2=0.01"
4.58765,2.3224378307072078,4.0,8.775,0.1,0.05,0.75,"phi=0.1,phi2=0.05"
11.65715,4.917743779163368,12.0,9.0,0.1,0.09,0.75,"phi=0.1,phi2=0.09"
4.70955,2.709758069920634,4.0,10.0,0.25,0.05,0.75,"phi=0.25,phi2=0.05"
5.0858,2.69262666554426,5.0,10.125,0.25,0.1,0.75,"phi=0.25,phi2=0.1"
8.95435,3.673740066675921,9.0,10.35,0.25,0.2,0.75,"phi=0.25,phi2=0.2"
2.60865,1.3736794303985191,2.0,8.775,0.1,0.01,1.0,"phi=0.1,phi2=0.01"
3.0527,1.4778101062044473,3.0,8.775,0.1,0.05,1.0,"phi=0.1,phi2=0.05"
7.31515,3.383892799351067,7.0,9.0,0.1,0.09,1.0,"phi=0.1,phi2=0.09"
2.97645,1.5459286521376077,3.0,10.0,0.25,0.05,1.0,"phi=0.25,phi2=0.05"
3.28545,1.5910588604762554,3.0,10.125,0.25,0.1,1.0,"phi=0.25,phi2=0.1"
5.86965,2.5108482386436664,6.0,10.35,0.25,0.2,1.0,"phi=0.25,phi2=0.2"
1.8959,0.9075038236834047,2.0,8.775,0.1,0.01,1.25,"phi=0.1,phi2=0.01"
2.22245,1.0183152741170096,2.0,8.775,0.1,0.05,1.25,"phi=0.1,phi2=0.05"
4.81025,2.4564089515998755,5.0,9.0,0.1,0.09,1.25,"phi=0.1,phi2=0.09"
2.1431,1.0102585758111633,2.0,10.0,0.25,0.05,1.25,"phi=0.25,phi2=0.05"
2.3535,1.0872155949948474,2.0,10.125,0.25,0.1,1.25,"phi=0.25,phi2=0.1"
4.09355,1.8331934970155221,4.0,10.35,0.25,0.2,1.25,"phi=0.25,phi2=0.2"
1.49385,0.6429324828471493,1.0,8.775,0.1,0.01,1.5,"phi=0.1,phi2=0.01"
1.72895,0.7572858756770787,2.0,8.775,0.1,0.05,1.5,"phi=0.1,phi2=0.05"
3.23395,1.757929861371039,3.0,9.0,0.1,0.09,1.5,"phi=0.1,phi2=0.09"
