ARL,SDRL,MRL,L,Phi,Delta,Parameter_string
200.20423333333332,151.039074818667,167.0,8.7975,0.1,0.0,phi=0.1
198.8951,177.33279738763312,147.0,10.3021875,0.25,0.0,phi=0.25
66.24263333333333,45.010963431874636,56.0,8.7975,0.1,0.25,phi=0.1
82.7919,68.19793932167843,64.0,10.3021875,0.25,0.25,phi=0.25
27.180366666666668,15.876971831310346,24.0,8.7975,0.1,0.5,phi=0.1
32.23233333333334,22.394292901441553,27.0,10.3021875,0.25,0.5,phi=0.25
15.3959,8.15202816420552,14.0,8.7975,0.1,0.75,phi=0.1
17.10086666666667,9.969504797910254,15.0,10.3021875,0.25,0.75,phi=0.25
10.2319,4.914324883101102,10.0,8.7975,0.1,1.0,phi=0.1
10.950533333333333,5.598471789892509,10.0,10.3021875,0.25,1.0,phi=0.25
7.517233333333333,3.409589859825111,7.0,8.7975,0.1,1.25,phi=0.1
7.950733333333333,3.706746928987135,7.0,10.3021875,0.25,1.25,phi=0.25
5.877166666666667,2.596564134689447,6.0,8.7975,0.1,1.5,phi=0.1
6.141666666666667,2.6837779134810855,6.0,10.3021875,0.25,1.5,phi=0.25
4.783066666666667,2.1671501860482323,5.0,8.7975,0.1,1.75,phi=0.1
4.919366666666667,2.0988246549491034,5.0,10.3021875,0.25,1.75,phi=0.25
3.9919,1.9054398591051536,4.0,8.7975,0.1,2.0,phi=0.1
4.0801,1.7825124562444625,4.0,10.3021875,0.25,2.0,phi=0.25
3.3507333333333333,1.7300634272252051,4.0,8.7975,0.1,2.25,phi=0.1
3.456566666666667,1.5839129433849017,4.0,10.3021875,0.25,2.25,phi=0.25
2.8545666666666665,1.6022325503982109,3.0,8.7975,0.1,2.5,phi=0.1
2.941333333333333,1.4412118357672323,3.0,10.3021875,0.25,2.5,phi=0.25
2.4502333333333333,1.4805145318060506,3.0,8.7975,0.1,2.75,phi=0.1
2.5311333333333335,1.3192791146009333,3.0,10.3021875,0.25,2.75,phi=0.25
2.068566666666667,1.3290592959767529,1.0,8.7975,0.1,3.0,phi=0.1
2.1932666666666667,1.2169009801769228,3.0,10.3021875,0.25,3.0,phi=0.25
