ARL,SDRL,MRL,L,Phi,k,Delta,Parameter_string
202.07026666666667,200.84262511378296,140.0,8.32562,0.1,,0.0,"phi=0.1,k=-0.05"
200.42276666666666,196.3776091318599,139.0,9.45,0.25,,0.0,"phi=0.25,k=-0.125"
73.58633333333333,70.44753754784873,53.0,8.32562,0.1,,0.25,"phi=0.1,k=-0.05"
100.7533,98.39461285614168,71.0,9.45,0.25,,0.25,"phi=0.25,k=-0.125"
24.9545,20.47407376211844,20.0,8.32562,0.1,,0.5,"phi=0.1,k=-0.05"
36.44943333333333,33.419628608731664,26.0,9.45,0.25,,0.5,"phi=0.25,k=-0.125"
12.601666666666667,8.975380988509006,11.0,8.32562,0.1,,0.75,"phi=0.1,k=-0.05"
16.671533333333333,13.738887982010125,13.0,9.45,0.25,,0.75,"phi=0.25,k=-0.125"
7.8782,5.168336104911651,7.0,8.32562,0.1,,1.0,"phi=0.1,k=-0.05"
9.572766666666666,6.8302883061811945,8.0,9.45,0.25,,1.0,"phi=0.25,k=-0.125"
5.518666666666666,3.352012065743333,5.0,8.32562,0.1,,1.25,"phi=0.1,k=-0.05"
6.273733333333333,4.049782306357823,5.0,9.45,0.25,,1.25,"phi=0.25,k=-0.125"
4.135033333333333,2.423138322965122,4.0,8.32562,0.1,,1.5,"phi=0.1,k=-0.05"
4.6338333333333335,2.7286544862909183,4.0,9.45,0.25,,1.5,"phi=0.25,k=-0.125"
3.225233333333333,1.8170406193099324,3.0,8.32562,0.1,,1.75,"phi=0.1,k=-0.05"
3.5765666666666664,1.9761926893791395,3.0,9.45,0.25,,1.75,"phi=0.25,k=-0.125"
2.6578666666666666,1.4289430064056283,2.0,8.32562,0.1,,2.0,"phi=0.1,k=-0.05"
2.908333333333333,1.5382881900201781,3.0,9.45,0.25,,2.0,"phi=0.25,k=-0.125"
2.2222,1.170737869892317,2.0,8.32562,0.1,,2.25,"phi=0.1,k=-0.05"
2.416333333333333,1.2386820504965035,2.0,9.45,0.25,,2.25,"phi=0.25,k=-0.125"
1.9102666666666666,0.9802455111971807,2.0,8.32562,0.1,,2.5,"phi=0.1,k=-0.05"
2.073933333333333,1.0370473448958615,2.0,9.45,0.25,,2.5,"phi=0.25,k=-0.125"
1.6686333333333334,0.8195706999534709,1.0,8.32562,0.1,,2.75,"phi=0.1,k=-0.05"
1.8092666666666666,0.8736632430303005,2.0,9.45,0.25,,2.75,"phi=0.25,k=-0.125"
1.4927333333333332,0.6947521348573812,1.0,8.32562,0.1,,3.0,"phi=0.1,k=-0.05"
1.5952333333333333,0.740538506013623,1.0,9.45,0.25,,3.0,"phi=0.25,k=-0.125"
