ARL,SDRL,MRL,L,Phi,k,Delta,Parameter_string
200.41573333333332,159.6991808551176,164.0,7.8275,0.1,,0.0,"phi=0.1,k=-0.05"
197.94353333333333,168.7906374126901,153.0,9.88059,0.25,,0.0,"phi=0.25,k=-0.125"
61.6859,44.58399086207963,52.0,7.8275,0.1,,0.25,"phi=0.1,k=-0.05"
72.7383,54.603761895221105,59.0,9.88059,0.25,,0.25,"phi=0.25,k=-0.125"
24.768833333333333,15.649996655129213,22.0,7.8275,0.1,,0.5,"phi=0.1,k=-0.05"
29.151466666666668,18.16478253422142,25.0,9.88059,0.25,,0.5,"phi=0.25,k=-0.125"
13.955033333333333,7.772713683063907,13.0,7.8275,0.1,,0.75,"phi=0.1,k=-0.05"
16.292366666666666,8.745735440709883,15.0,9.88059,0.25,,0.75,"phi=0.25,k=-0.125"
9.415066666666666,4.796017757357544,9.0,7.8275,0.1,,1.0,"phi=0.1,k=-0.05"
10.755,5.226219953274067,10.0,9.88059,0.25,,1.0,"phi=0.25,k=-0.125"
6.9973,3.367257941312684,7.0,7.8275,0.1,,1.25,"phi=0.1,k=-0.05"
7.8819,3.5615379248296657,7.0,9.88059,0.25,,1.25,"phi=0.25,k=-0.125"
5.503033333333334,2.6250950710826113,6.0,7.8275,0.1,,1.5,"phi=0.1,k=-0.05"
6.1229,2.689175014138475,6.0,9.88059,0.25,,1.5,"phi=0.25,k=-0.125"
4.466566666666667,2.227288832988563,5.0,7.8275,0.1,,1.75,"phi=0.1,k=-0.05"
4.9994,2.142117248580634,5.0,9.88059,0.25,,1.75,"phi=0.25,k=-0.125"
3.7220666666666666,1.9692349772324165,4.0,7.8275,0.1,,2.0,"phi=0.1,k=-0.05"
4.1628,1.8633203768184006,4.0,9.88059,0.25,,2.0,"phi=0.25,k=-0.125"
3.1336,1.7879273959904898,4.0,7.8275,0.1,,2.25,"phi=0.1,k=-0.05"
3.536233333333333,1.6750583508907648,4.0,9.88059,0.25,,2.25,"phi=0.25,k=-0.125"
2.6565,1.62598926298218,3.0,7.8275,0.1,,2.5,"phi=0.1,k=-0.05"
2.9918,1.5434591323819795,3.0,9.88059,0.25,,2.5,"phi=0.25,k=-0.125"
2.2583333333333333,1.4615051222018425,1.0,7.8275,0.1,,2.75,"phi=0.1,k=-0.05"
2.5658333333333334,1.4275851307559755,3.0,9.88059,0.25,,2.75,"phi=0.25,k=-0.125"
1.9129333333333334,1.2948433864972073,1.0,7.8275,0.1,,3.0,"phi=0.1,k=-0.05"
2.1916333333333333,1.2967305035699934,1.0,9.88059,0.25,,3.0,"phi=0.25,k=-0.125"
