ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
201.78086666666667,154.37585167564978,166.0,12.84562,0.1,0.01,0.0,"phi=0.1,phi2=0.01"
201.75316666666666,154.7778312290627,165.0,13.095,0.1,0.05,0.0,"phi=0.1,phi2=0.05"
199.29713333333333,156.90072948135779,160.0,13.44062,0.1,0.09,0.0,"phi=0.1,phi2=0.09"
194.6882,172.54311919273974,145.0,14.49922,0.25,0.05,0.0,"phi=0.25,phi2=0.05"
200.07186666666666,179.47390850812332,146.0,14.5425,0.25,0.1,0.0,"phi=0.25,phi2=0.1"
198.88,179.38701327948277,145.0,14.53281,0.25,0.2,0.0,"phi=0.25,phi2=0.2"
77.2065,51.485311087241186,66.0,12.84562,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
80.03806666666667,53.77628551938319,68.0,13.095,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
84.1312,57.78079369386798,71.0,13.44062,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
99.64703333333334,82.49905119372923,77.0,14.49922,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
105.40416666666667,88.24436572744398,81.0,14.5425,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
116.27306666666667,100.42487524477633,88.0,14.53281,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
32.6695,18.325788834772343,29.0,12.84562,0.1,0.01,0.5,"phi=0.1,phi2=0.01"
33.91866666666667,19.240193646519142,30.0,13.095,0.1,0.05,0.5,"phi=0.1,phi2=0.05"
35.94296666666666,20.689305946121593,32.0,13.44062,0.1,0.09,0.5,"phi=0.1,phi2=0.09"
40.61946666666667,28.448626112969947,33.0,14.49922,0.25,0.05,0.5,"phi=0.25,phi2=0.05"
43.58363333333333,31.02396716731903,36.0,14.5425,0.25,0.1,0.5,"phi=0.25,phi2=0.1"
50.91706666666666,38.6646477900535,41.0,14.53281,0.25,0.2,0.5,"phi=0.25,phi2=0.2"
18.47746666666667,9.23203258130203,17.0,12.84562,0.1,0.01,0.75,"phi=0.1,phi2=0.01"
19.194,9.614320776841181,18.0,13.095,0.1,0.05,0.75,"phi=0.1,phi2=0.05"
