Parm,Delta,ARL,SDRL,MRL,Phi
0.0,0.0,219.779,89.57315534801707,256.0,0.25
0.0,0.5,33.738,16.852873820212388,30.0,0.25
0.0,1.5,6.186,1.6435948405857206,6.0,0.25
0.0,3.0,2.098,1.1464711073550873,1.0,0.25
1.0,0.5,63.331,36.87629914999606,56.0,0.25
1.0,1.5,10.79,3.712398146750965,10.0,0.25
1.0,3.0,4.299,1.3257446963876567,4.0,0.25
2.0,0.5,33.183,16.193625628623135,30.0,0.25
2.0,1.5,6.153,1.6448680798167372,6.0,0.25
2.0,3.0,2.143,1.1560929893395253,3.0,0.25
3.0,0.5,1.052,0.3087005021051958,1.0,0.25
3.0,1.5,1.0,0.0,1.0,0.25
3.0,3.0,1.0,0.0,1.0,0.25
