Parm,Delta,ARL,SDRL,MRL,Phi
int,0.25,182.4354,118.8786987935181,152.0,0.25
int,0.5,41.0994,23.96700063921224,36.0,0.25
int,0.75,17.3504,7.686730113643902,16.0,0.25
int,1.0,10.1334,3.477902304550834,10.0,0.25
int,1.25,7.0986,2.0274807126086305,7.0,0.25
int,1.5,5.5127,1.4092688565351894,5.0,0.25
int,1.75,4.4692,1.2055087556712312,4.0,0.25
int,2.0,3.7442,1.1620526494096557,4.0,0.25
int,2.25,3.0616,1.2383882428382467,3.0,0.25
int,2.5,2.4615,1.2147089157489543,3.0,0.25
int,2.75,1.9622,1.0891148516111604,1.0,0.25
int,3.0,1.5832,0.9289121379333999,1.0,0.25
all,0.25,45.2762,30.06883292647056,38.0,0.25
all,0.5,7.4469,3.15854086406999,7.0,0.25
all,0.75,3.5804,1.8785462038502008,4.0,0.25
all,1.0,2.1086,1.374920375876363,1.0,0.25
all,1.25,1.4403,0.9077642370131135,1.0,0.25
all,1.5,1.164,0.5629422705748788,1.0,0.25
all,1.75,1.0651,0.3564575570807834,1.0,0.25
all,2.0,1.0243,0.21612383024553308,1.0,0.25
