Parm,Delta,ARL,SDRL,MRL,Phi
0.0,0.0,166.924,67.92434191068767,220.0,0.25
0.0,0.5,20.778,10.95064911318046,19.0,0.25
0.0,1.5,4.483,1.7010911204282972,5.0,0.25
0.0,3.0,1.311,0.7431547618094093,1.0,0.25
1.0,0.5,37.698,21.83366199243727,33.0,0.25
1.0,1.5,7.664,3.0041810864193925,7.0,0.25
1.0,3.0,2.879,1.4409576676641127,3.0,0.25
2.0,0.5,21.006,11.305926056719105,19.0,0.25
2.0,1.5,4.459,1.692429909922417,5.0,0.25
2.0,3.0,1.337,0.7625162293354811,1.0,0.25
3.0,0.5,1.038,0.27304944607158615,1.0,0.25
3.0,1.5,1.0,0.0,1.0,0.25
3.0,3.0,1.0,0.0,1.0,0.25
