Parm,Delta,ARL,SDRL,MRL,Phi
int,0.25,45.4192,18.507562545078702,43.0,0.1
int,0.5,21.9666,7.773794725872301,21.0,0.1
int,0.75,12.8999,3.9858349175549153,12.0,0.1
int,1.0,8.8289,2.373652204936519,9.0,0.1
int,1.25,6.7533,1.6886204754177299,7.0,0.1
int,1.5,5.4097,1.3952225306380341,5.0,0.1
int,1.75,4.4516,1.3715893846191725,5.0,0.1
int,2.0,3.7045,1.4154786292982315,4.0,0.1
int,2.25,3.021,1.473756764191432,4.0,0.1
int,2.5,2.38,1.4192955999368138,3.0,0.1
int,2.75,1.8364,1.2223072608800127,1.0,0.1
int,3.0,1.4542,0.940692489605397,1.0,0.1
all,0.25,28.1089,12.867650942965463,26.0,0.1
all,0.5,7.0331,3.000967242407021,7.0,0.1
all,0.75,3.4795,2.0292313199830128,4.0,0.1
all,1.0,2.0351,1.4524696175824126,1.0,0.1
all,1.25,1.3751,0.9046546247049202,1.0,0.1
all,1.5,1.1396,0.5459961904629005,1.0,0.1
all,1.75,1.0446,0.3023422563916595,1.0,0.1
all,2.0,1.0152,0.17369214144572,1.0,0.1
