ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
200.70666,199.63267360741426,138.0,2.47833,0.1,0.01,0.0,"phi=0.1,phi2=0.01"
200.87098,198.9464347351809,137.0,2.49,0.1,0.05,0.0,"phi=0.1,phi2=0.05"
200.88332,159.54731569593267,158.0,2.54,0.1,0.09,0.0,"phi=0.1,phi2=0.09"
200.00092,195.12413894532273,139.0,2.7,0.25,0.05,0.0,"phi=0.25,phi2=0.05"
195.89782,190.9959156088098,136.0,2.703,0.25,0.1,0.0,"phi=0.25,phi2=0.1"
195.67268,178.6045760377309,142.0,2.73,0.25,0.2,0.0,"phi=0.25,phi2=0.2"
57.79658,54.90131146251062,42.0,2.47833,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
52.42886,46.82566923280863,39.0,2.49,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
69.43106,39.34326482736785,62.0,2.54,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
79.8798,77.95149537988351,56.0,2.7,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
74.07798,70.65697431336555,52.0,2.703,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
71.40222,56.87239470139797,55.0,2.73,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
19.7755,16.026684615041255,16.0,2.47833,0.1,0.01,0.5,"phi=0.1,phi2=0.01"
19.22082,14.171593365871036,16.0,2.49,0.1,0.05,0.5,"phi=0.1,phi2=0.05"
34.93682,16.280010696790097,33.0,2.54,0.1,0.09,0.5,"phi=0.1,phi2=0.09"
27.22838,24.255088179093473,20.0,2.7,0.25,0.05,0.5,"phi=0.25,phi2=0.05"
25.73906,21.60547176796656,20.0,2.703,0.25,0.1,0.5,"phi=0.25,phi2=0.1"
30.06644,18.18092037621858,26.0,2.73,0.25,0.2,0.5,"phi=0.25,phi2=0.2"
10.1777,7.417703331220519,8.0,2.47833,0.1,0.01,0.75,"phi=0.1,phi2=0.01"
10.5002,6.860938708369285,9.0,2.49,0.1,0.05,0.75,"phi=0.1,phi2=0.05"
22.30184,10.014703820602985,22.0,2.54,0.1,0.09,0.75,"phi=0.1,phi2=0.09"
12.994,10.14241016721371,10.0,2.7,0.25,0.05,0.75,"phi=0.25,phi2=0.05"
12.83134,9.303830061023257,11.0,2.703,0.25,0.1,0.75,"phi=0.25,phi2=0.1"
17.88868,9.159734049501656,16.0,2.73,0.25,0.2,0.75,"phi=0.25,phi2=0.2"
6.39262,4.264531572822507,5.0,2.47833,0.1,0.01,1.0,"phi=0.1,phi2=0.01"
6.88682,4.093747706881801,6.0,2.49,0.1,0.05,1.0,"phi=0.1,phi2=0.05"
15.68422,7.074852860067126,15.0,2.54,0.1,0.09,1.0,"phi=0.1,phi2=0.09"
7.80924,5.37935782620937,7.0,2.7,0.25,0.05,1.0,"phi=0.25,phi2=0.05"
7.9739,5.068978081428248,7.0,2.703,0.25,0.1,1.0,"phi=0.25,phi2=0.1"
12.35324,5.827018234260127,12.0,2.73,0.25,0.2,1.0,"phi=0.25,phi2=0.2"
4.48984,2.802480468156736,4.0,2.47833,0.1,0.01,1.25,"phi=0.1,phi2=0.01"
4.9881,2.780172366958567,5.0,2.49,0.1,0.05,1.25,"phi=0.1,phi2=0.05"
11.559,5.386750319069931,11.0,2.54,0.1,0.09,1.25,"phi=0.1,phi2=0.09"
5.3311,3.31258098617981,5.0,2.7,0.25,0.05,1.25,"phi=0.25,phi2=0.05"
5.5881,3.2398762923914237,5.0,2.703,0.25,0.1,1.25,"phi=0.25,phi2=0.1"
9.1943,4.1984744265030365,9.0,2.73,0.25,0.2,1.25,"phi=0.25,phi2=0.2"
