ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
58.6742,41.717962011105,49.0,2.516,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
60.67855,43.39874329859679,50.5,2.54,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
63.86095,46.53443687311044,53.0,2.6,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
73.028,60.70571650182543,55.0,2.772,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
75.4111,63.48380972177079,57.0,2.763,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
84.50155,73.11670806045291,63.0,2.762,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
109.0651,103.90506032908118,78.0,2.804,0.5,0.1,0.25,"phi=0.5,phi2=0.1"
114.94165,110.74719294536318,81.0,2.803,0.5,0.2,0.25,"phi=0.5,phi2=0.2"
129.89465,124.64407908672396,91.0,2.794,0.5,0.4,0.25,"phi=0.5,phi2=0.4"
151.2135,148.98122236627674,107.0,2.804,0.9,0.2,0.25,"phi=0.9,phi2=0.2"
164.61105,160.74928045841295,115.0,2.809,0.9,0.5,0.25,"phi=0.9,phi2=0.5"
174.6448,170.44018227213908,121.0,2.801,0.9,0.8,0.25,"phi=0.9,phi2=0.8"
23.2971,14.192023519921323,21.0,2.516,0.1,0.01,0.5,"phi=0.1,phi2=0.01"
24.10095,14.68743201167243,21.0,2.54,0.1,0.05,0.5,"phi=0.1,phi2=0.05"
25.58745,15.695590224566262,22.0,2.6,0.1,0.09,0.5,"phi=0.1,phi2=0.09"
27.2501,18.945137898416046,23.0,2.772,0.25,0.05,0.5,"phi=0.25,phi2=0.05"
28.3224,19.910405777884087,23.0,2.763,0.25,0.1,0.5,"phi=0.25,phi2=0.1"
32.4969,24.70358456560505,26.0,2.762,0.25,0.2,0.5,"phi=0.25,phi2=0.2"
43.15615,38.339836556478694,32.0,2.804,0.5,0.1,0.5,"phi=0.5,phi2=0.1"
47.503,42.459833855068254,35.0,2.803,0.5,0.2,0.5,"phi=0.5,phi2=0.2"
59.94475,54.43368256362507,44.0,2.794,0.5,0.4,0.5,"phi=0.5,phi2=0.4"
84.322,82.93459058800495,59.0,2.804,0.9,0.2,0.5,"phi=0.9,phi2=0.2"
99.5216,99.01361690919083,69.0,2.809,0.9,0.5,0.5,"phi=0.9,phi2=0.5"
115.1709,114.63109130244726,80.0,2.801,0.9,0.8,0.5,"phi=0.9,phi2=0.8"
13.1636,7.156146661437285,12.0,2.516,0.1,0.01,0.75,"phi=0.1,phi2=0.01"
13.59275,7.356065350273881,12.0,2.54,0.1,0.05,0.75,"phi=0.1,phi2=0.05"
14.3298,7.779918505999919,13.0,2.6,0.1,0.09,0.75,"phi=0.1,phi2=0.09"
14.5706,8.583339422392664,13.0,2.772,0.25,0.05,0.75,"phi=0.25,phi2=0.05"
15.0466,9.044010639091486,13.0,2.763,0.25,0.1,0.75,"phi=0.25,phi2=0.1"
16.9944,11.032142522647176,14.0,2.762,0.25,0.2,0.75,"phi=0.25,phi2=0.2"
20.865,16.67269249401548,16.0,2.804,0.5,0.1,0.75,"phi=0.5,phi2=0.1"
23.2098,18.89677972459858,18.0,2.803,0.5,0.2,0.75,"phi=0.5,phi2=0.2"
30.5974,26.35219940042956,23.0,2.794,0.5,0.4,0.75,"phi=0.5,phi2=0.4"
45.19485,43.7171165961057,32.0,2.804,0.9,0.2,0.75,"phi=0.9,phi2=0.2"
57.19165,55.45848916331475,40.0,2.809,0.9,0.5,0.75,"phi=0.9,phi2=0.5"
72.02125,69.9822813177557,51.0,2.801,0.9,0.8,0.75,"phi=0.9,phi2=0.8"
8.7797,4.43657163922775,8.0,2.516,0.1,0.01,1.0,"phi=0.1,phi2=0.01"
9.07495,4.539849391499679,8.0,2.54,0.1,0.05,1.0,"phi=0.1,phi2=0.05"
9.5534,4.779450642071743,9.0,2.6,0.1,0.09,1.0,"phi=0.1,phi2=0.09"
9.494,4.952732982909537,9.0,2.772,0.25,0.05,1.0,"phi=0.25,phi2=0.05"
9.73085,5.138123030592008,9.0,2.763,0.25,0.1,1.0,"phi=0.25,phi2=0.1"
10.74765,6.0418018403039335,9.0,2.762,0.25,0.2,1.0,"phi=0.25,phi2=0.2"
12.0925,8.586387118573212,10.0,2.804,0.5,0.1,1.0,"phi=0.5,phi2=0.1"
13.3495,9.687143528925336,11.0,2.803,0.5,0.2,1.0,"phi=0.5,phi2=0.2"
17.87605,14.146893171205472,14.0,2.794,0.5,0.4,1.0,"phi=0.5,phi2=0.4"
25.5443,24.163022110448022,18.0,2.804,0.9,0.2,1.0,"phi=0.9,phi2=0.2"
33.70045,32.36516522122975,24.0,2.809,0.9,0.5,1.0,"phi=0.9,phi2=0.5"
45.24535,43.39885313435714,32.0,2.801,0.9,0.8,1.0,"phi=0.9,phi2=0.8"
6.45855,3.1230725091646527,6.0,2.516,0.1,0.01,1.25,"phi=0.1,phi2=0.01"
6.65975,3.1981525819604046,6.0,2.54,0.1,0.05,1.25,"phi=0.1,phi2=0.05"
7.05145,3.3209039277732804,7.0,2.6,0.1,0.09,1.25,"phi=0.1,phi2=0.09"
6.89945,3.2945773169710253,6.0,2.772,0.25,0.05,1.25,"phi=0.25,phi2=0.05"
7.04415,3.399397119711082,7.0,2.763,0.25,0.1,1.25,"phi=0.25,phi2=0.1"
7.6738,3.9354915271157678,7.0,2.762,0.25,0.2,1.25,"phi=0.25,phi2=0.2"
7.9678,5.145334115487545,7.0,2.804,0.5,0.1,1.25,"phi=0.5,phi2=0.1"
8.73985,5.781753365329587,7.0,2.803,0.5,0.2,1.25,"phi=0.5,phi2=0.2"
11.42525,8.287056922544938,9.0,2.794,0.5,0.4,1.25,"phi=0.5,phi2=0.4"
15.53345,14.357133456839495,11.0,2.804,0.9,0.2,1.25,"phi=0.9,phi2=0.2"
21.13,19.870933546262993,15.0,2.809,0.9,0.5,1.25,"phi=0.9,phi2=0.5"
29.4003,28.338033804588488,21.0,2.801,0.9,0.8,1.25,"phi=0.9,phi2=0.8"
5.0222,2.443155164945526,5.0,2.516,0.1,0.01,1.5,"phi=0.1,phi2=0.01"
5.19885,2.4960986914583327,5.0,2.54,0.1,0.05,1.5,"phi=0.1,phi2=0.05"
5.50295,2.5727594713653277,5.0,2.6,0.1,0.09,1.5,"phi=0.1,phi2=0.09"
5.33945,2.4598218832874874,5.0,2.772,0.25,0.05,1.5,"phi=0.25,phi2=0.05"
5.4484,2.5319631592896448,5.0,2.763,0.25,0.1,1.5,"phi=0.25,phi2=0.1"
5.89455,2.833342601504449,6.0,2.762,0.25,0.2,1.5,"phi=0.25,phi2=0.2"
5.749,3.4394184101385514,5.0,2.804,0.5,0.1,1.5,"phi=0.5,phi2=0.1"
6.23195,3.8021769024468077,6.0,2.803,0.5,0.2,1.5,"phi=0.5,phi2=0.2"
7.97415,5.389441694415109,7.0,2.794,0.5,0.4,1.5,"phi=0.5,phi2=0.4"
9.87595,8.777862017456187,7.0,2.804,0.9,0.2,1.5,"phi=0.9,phi2=0.2"
13.76735,12.602052371637726,10.0,2.809,0.9,0.5,1.5,"phi=0.9,phi2=0.5"
19.9363,19.13880984570357,15.0,2.801,0.9,0.8,1.5,"phi=0.9,phi2=0.8"
4.069,2.0472271490970413,4.0,2.516,0.1,0.01,1.75,"phi=0.1,phi2=0.01"
4.20475,2.087828402311837,4.0,2.54,0.1,0.05,1.75,"phi=0.1,phi2=0.05"
4.43905,2.1549675397787316,5.0,2.6,0.1,0.09,1.75,"phi=0.1,phi2=0.09"
4.3184,1.9597503514478574,4.0,2.772,0.25,0.05,1.75,"phi=0.25,phi2=0.05"
4.40565,2.0177953507479396,4.0,2.763,0.25,0.1,1.75,"phi=0.25,phi2=0.1"
4.7199,2.2415717677558304,5.0,2.762,0.25,0.2,1.75,"phi=0.25,phi2=0.2"
4.38425,2.4693930301796834,4.0,2.804,0.5,0.1,1.75,"phi=0.5,phi2=0.1"
4.70315,2.708344527105073,4.0,2.803,0.5,0.2,1.75,"phi=0.5,phi2=0.2"
5.9071,3.8282070986298535,5.0,2.794,0.5,0.4,1.75,"phi=0.5,phi2=0.4"
6.6917,5.723849326283842,5.0,2.804,0.9,0.2,1.75,"phi=0.9,phi2=0.2"
9.3046,8.454828137815694,7.0,2.809,0.9,0.5,1.75,"phi=0.9,phi2=0.5"
13.76565,13.113581893498816,10.0,2.801,0.9,0.8,1.75,"phi=0.9,phi2=0.8"
3.37885,1.8002840546702623,4.0,2.516,0.1,0.01,2.0,"phi=0.1,phi2=0.01"
3.48675,1.835435762291887,4.0,2.54,0.1,0.05,2.0,"phi=0.1,phi2=0.05"
3.6925,1.9036658714175656,4.0,2.6,0.1,0.09,2.0,"phi=0.1,phi2=0.09"
3.56255,1.6998786714056977,4.0,2.772,0.25,0.05,2.0,"phi=0.25,phi2=0.05"
3.63455,1.7570988297474903,4.0,2.763,0.25,0.1,2.0,"phi=0.25,phi2=0.1"
3.88555,1.9245392169296003,4.0,2.762,0.25,0.2,2.0,"phi=0.25,phi2=0.2"
3.49065,1.9434280479348853,3.0,2.804,0.5,0.1,2.0,"phi=0.5,phi2=0.1"
3.72845,2.1208749603642363,4.0,2.803,0.5,0.2,2.0,"phi=0.5,phi2=0.2"
4.5421,2.833906771578769,4.0,2.794,0.5,0.4,2.0,"phi=0.5,phi2=0.4"
4.705,3.89116627760881,4.0,2.804,0.9,0.2,2.0,"phi=0.9,phi2=0.2"
6.5041,5.830504539917622,5.0,2.809,0.9,0.5,2.0,"phi=0.9,phi2=0.5"
9.64045,9.266346302480823,7.0,2.801,0.9,0.8,2.0,"phi=0.9,phi2=0.8"
2.8296,1.6274101634191669,3.0,2.516,0.1,0.01,2.25,"phi=0.1,phi2=0.01"
2.9181,1.6719726044406353,3.0,2.54,0.1,0.05,2.25,"phi=0.1,phi2=0.05"
