ARL,SDRL,MRL,L,Phi,Delta,Parameter_string
201.47192,200.16737339415133,139.0,2.483,0.1,0.0,phi=0.1
197.09122,192.28152719102164,138.0,2.687,0.25,0.0,phi=0.25
197.81786,191.9818946802547,138.0,2.778,0.5,0.0,phi=0.5
195.91218,191.20576619874095,136.0,2.8,0.9,0.0,phi=0.9
59.77692,57.05129512389355,43.0,2.483,0.1,0.25,phi=0.1
83.9056,81.99593604953846,58.0,2.687,0.25,0.25,phi=0.25
113.72514,112.81481140338089,79.0,2.778,0.5,0.25,phi=0.5
146.43532,145.02669980557923,102.0,2.8,0.9,0.25,phi=0.9
20.26378,16.61543018135853,16.0,2.483,0.1,0.5,phi=0.1
28.877,26.387510511603782,21.0,2.687,0.25,0.5,phi=0.25
45.99652,44.803017173953805,32.0,2.778,0.5,0.5,phi=0.5
79.34794,78.40098849986778,55.0,2.8,0.9,0.5,phi=0.9
10.3312,7.5613534873063575,9.0,2.483,0.1,0.75,phi=0.1
13.46432,10.963729608924146,10.0,2.687,0.25,0.75,phi=0.25
20.96292,19.405335994864917,15.0,2.778,0.5,0.75,phi=0.5
41.70514,40.74291640985461,29.0,2.8,0.9,0.75,phi=0.9
6.45696,4.323279722432958,6.0,2.483,0.1,1.0,phi=0.1
7.8583,5.667953873312661,6.0,2.687,0.25,1.0,phi=0.25
11.28608,9.77360722730354,8.0,2.778,0.5,1.0,phi=0.5
22.8696,22.256612407102747,16.0,2.8,0.9,1.0,phi=0.9
4.51246,2.8354196776491483,4.0,2.483,0.1,1.25,phi=0.1
5.28494,3.4217348226301816,5.0,2.687,0.25,1.25,phi=0.25
6.94332,5.494104784002578,5.0,2.778,0.5,1.25,phi=0.5
13.49862,12.821494378410028,10.0,2.8,0.9,1.25,phi=0.9
3.4075,2.0442905248520815,3.0,2.483,0.1,1.5,phi=0.1
3.88752,2.3423638166604266,3.0,2.687,0.25,1.5,phi=0.25
4.74864,3.3707474171761964,4.0,2.778,0.5,1.5,phi=0.5
8.4667,7.815769386950974,6.0,2.8,0.9,1.5,phi=0.9
2.7066,1.5341044423376133,2.0,2.483,0.1,1.75,phi=0.1
3.04688,1.7252136869385197,3.0,2.687,0.25,1.75,phi=0.25
3.5332,2.296801637059674,3.0,2.778,0.5,1.75,phi=0.5
5.63766,4.913305376668542,4.0,2.8,0.9,1.75,phi=0.9
2.23046,1.1995449922366397,2.0,2.483,0.1,2.0,phi=0.1
2.48464,1.3278268224433485,2.0,2.687,0.25,2.0,phi=0.25
2.78204,1.6629652547182097,2.0,2.778,0.5,2.0,phi=0.5
4.01286,3.3143347176167954,3.0,2.8,0.9,2.0,phi=0.9
1.895,0.9628784970077999,2.0,2.483,0.1,2.25,phi=0.1
2.09558,1.0626591474221638,2.0,2.687,0.25,2.25,phi=0.25
2.28454,1.2682022663597476,2.0,2.778,0.5,2.25,phi=0.5
3.0114,2.3114129964158288,2.0,2.8,0.9,2.25,phi=0.9
1.65726,0.7921043443890459,1.0,2.483,0.1,2.5,phi=0.1
1.80876,0.8729188177602772,2.0,2.687,0.25,2.5,phi=0.25
1.93664,1.0030680487384693,2.0,2.778,0.5,2.5,phi=0.5
2.3681,1.676079470072944,2.0,2.8,0.9,2.5,phi=0.9
1.47662,0.6608883230924874,1.0,2.483,0.1,2.75,phi=0.1
1.59914,0.7290893363642071,1.0,2.687,0.25,2.75,phi=0.25
1.6874,0.8157458182546815,2.0,2.778,0.5,2.75,phi=0.5
1.93234,1.2482476214277358,2.0,2.8,0.9,2.75,phi=0.9
1.33888,0.5516161215918185,1.0,2.483,0.1,3.0,phi=0.1
1.43872,0.6186151967095539,1.0,2.687,0.25,3.0,phi=0.25
1.50146,0.6793216236805657,1.0,2.778,0.5,3.0,phi=0.5
1.63968,0.9494890718697082,1.0,2.8,0.9,3.0,phi=0.9
