ARL,SDRL,MRL,L,Phi,Delta,Parameter_string
198.74866,147.66461095402784,168.0,2.4904,0.1,0.0,phi=0.1
200.2599,177.86633709611831,149.0,2.758,0.25,0.0,phi=0.25
200.45004,190.90497998742308,141.0,2.8,0.5,0.0,phi=0.5
199.17012,193.2016233347577,139.0,2.8058593750000003,0.9,0.0,phi=0.9
57.1737,40.837701800052365,48.0,2.4904,0.1,0.25,phi=0.1
69.45976,57.10621455448084,53.0,2.758,0.25,0.25,phi=0.25
104.19436,98.53448768928776,75.0,2.8,0.5,0.25,phi=0.5
148.20052,145.82465207134766,104.0,2.8058593750000003,0.9,0.25,phi=0.9
22.8272,14.011998435626518,20.0,2.4904,0.1,0.5,phi=0.1
26.2576,18.048445978532335,22.0,2.758,0.25,0.5,phi=0.25
40.93554,36.0415469272394,30.0,2.8,0.5,0.5,phi=0.5
80.53746,79.36531633370083,56.0,2.8058593750000003,0.9,0.5,phi=0.9
12.93082,7.156521091116828,12.0,2.4904,0.1,0.75,phi=0.1
14.23022,8.435061277287796,12.0,2.758,0.25,0.75,phi=0.25
19.70654,15.681985245127608,15.0,2.8,0.5,0.75,phi=0.5
42.31658,41.09167503404552,30.0,2.8058593750000003,0.9,0.75,phi=0.9
8.62844,4.394098675086848,8.0,2.4904,0.1,1.0,phi=0.1
9.25906,4.835004438095171,8.0,2.758,0.25,1.0,phi=0.25
11.4433,8.196442222696382,9.0,2.8,0.5,1.0,phi=0.5
23.4408,22.422701339490743,17.0,2.8058593750000003,0.9,1.0,phi=0.9
6.33326,3.085112278734763,6.0,2.4904,0.1,1.25,phi=0.1
6.7173,3.218505974827451,6.0,2.758,0.25,1.25,phi=0.25
7.54248,4.883764475238338,6.0,2.8,0.5,1.25,phi=0.5
13.8615,12.925910325775899,10.0,2.8058593750000003,0.9,1.25,phi=0.9
4.93882,2.4034302585263423,5.0,2.4904,0.1,1.5,phi=0.1
5.1983,2.389756705189882,5.0,2.758,0.25,1.5,phi=0.25
5.43308,3.2333638387289483,5.0,2.8,0.5,1.5,phi=0.5
8.78514,7.953465608173584,6.0,2.8058593750000003,0.9,1.5,phi=0.9
4.00336,2.020422903849588,4.0,2.4904,0.1,1.75,phi=0.1
4.1903,1.9370818026092755,4.0,2.758,0.25,1.75,phi=0.25
4.16444,2.369016565243899,4.0,2.8,0.5,1.75,phi=0.5
5.89296,5.050748700776945,4.0,2.8058593750000003,0.9,1.75,phi=0.9
3.31398,1.7835012081857415,4.0,2.4904,0.1,2.0,phi=0.1
3.4742,1.6620993833101558,4.0,2.758,0.25,2.0,phi=0.25
3.31888,1.8376168114163518,3.0,2.8,0.5,2.0,phi=0.5
4.18972,3.433110298490277,3.0,2.8058593750000003,0.9,2.0,phi=0.9
2.7854,1.6096666859943398,3.0,2.4904,0.1,2.25,phi=0.1
2.93204,1.4741036050427392,3.0,2.758,0.25,2.25,phi=0.25
2.71226,1.5025663687172024,3.0,2.8,0.5,2.25,phi=0.5
3.131,2.411414315292998,2.0,2.8058593750000003,0.9,2.25,phi=0.9
2.35322,1.448673749192688,1.0,2.4904,0.1,2.5,phi=0.1
2.50034,1.3306689612371665,3.0,2.758,0.25,2.5,phi=0.25
2.26704,1.261384017022572,2.0,2.8,0.5,2.5,phi=0.5
2.45774,1.772595298538276,2.0,2.8058593750000003,0.9,2.5,phi=0.9
1.99604,1.2866795709888301,1.0,2.4904,0.1,2.75,phi=0.1
2.15158,1.2050740656075876,3.0,2.758,0.25,2.75,phi=0.25
1.91716,1.0611397336826096,2.0,2.8,0.5,2.75,phi=0.5
1.99086,1.3219290678398747,2.0,2.8058593750000003,0.9,2.75,phi=0.9
1.713,1.115397238655359,1.0,2.4904,0.1,3.0,phi=0.1
1.86024,1.0846875782454595,1.0,2.758,0.25,3.0,phi=0.25
1.65712,0.8916912613679693,1.0,2.8,0.5,3.0,phi=0.5
1.676,1.0077221839376167,1.0,2.8058593750000003,0.9,3.0,phi=0.9
