ARL,SDRL,MRL,L,Phi,k,Delta,Parameter_string
203.61825,202.59378647169194,140.5,2.40625,0.1,,0.0,"phi=0.1,k=-0.05"
195.30855,191.61116289740926,136.0,2.5953,0.25,,0.0,"phi=0.25,k=-0.125"
203.6684,197.00817886940632,144.0,2.7242,0.5,,0.0,"phi=0.5,k=-0.25"
198.9111,193.32232074126878,139.0,2.77578,0.9,,0.0,"phi=0.9,k=-0.45"
60.3424,57.84328104663497,43.0,2.40625,0.1,,0.25,"phi=0.1,k=-0.05"
80.7716,78.32023323152198,56.0,2.5953,0.25,,0.25,"phi=0.25,k=-0.125"
109.24555,108.09941699749126,76.0,2.7242,0.5,,0.25,"phi=0.5,k=-0.25"
128.0768,126.19600232083424,89.0,2.77578,0.9,,0.25,"phi=0.9,k=-0.45"
20.2362,16.51573521100408,16.0,2.40625,0.1,,0.5,"phi=0.1,k=-0.05"
27.5958,25.131399132559256,20.0,2.5953,0.25,,0.5,"phi=0.25,k=-0.125"
41.1171,39.58360377214283,29.0,2.7242,0.5,,0.5,"phi=0.5,k=-0.25"
57.18905,56.73821472427115,40.0,2.77578,0.9,,0.5,"phi=0.9,k=-0.45"
10.4033,7.533096913620586,9.0,2.40625,0.1,,0.75,"phi=0.1,k=-0.05"
12.91045,10.321217505580435,10.0,2.5953,0.25,,0.75,"phi=0.25,k=-0.125"
18.4653,16.799943330559184,13.0,2.7242,0.5,,0.75,"phi=0.5,k=-0.25"
26.9076,26.0769872155508,19.0,2.77578,0.9,,0.75,"phi=0.9,k=-0.45"
6.57405,4.35681266495359,6.0,2.40625,0.1,,1.0,"phi=0.1,k=-0.05"
7.6762,5.383906904841502,6.0,2.5953,0.25,,1.0,"phi=0.25,k=-0.125"
9.9854,8.310636969570984,8.0,2.7242,0.5,,1.0,"phi=0.5,k=-0.25"
14.3889,13.269346509530903,10.0,2.77578,0.9,,1.0,"phi=0.9,k=-0.45"
4.5994,2.8732942139641744,4.0,2.40625,0.1,,1.25,"phi=0.1,k=-0.05"
5.2107,3.325568449152716,5.0,2.5953,0.25,,1.25,"phi=0.25,k=-0.125"
6.2825,4.675103608477571,5.0,2.7242,0.5,,1.25,"phi=0.5,k=-0.25"
8.3894,7.3665573804864914,6.0,2.77578,0.9,,1.25,"phi=0.9,k=-0.45"
3.4778,2.085810911851791,3.0,2.40625,0.1,,1.5,"phi=0.1,k=-0.05"
3.85775,2.304325267296264,3.0,2.5953,0.25,,1.5,"phi=0.25,k=-0.125"
4.391,2.9268103799187264,4.0,2.7242,0.5,,1.5,"phi=0.5,k=-0.25"
5.4458,4.392796644507915,4.0,2.77578,0.9,,1.5,"phi=0.9,k=-0.45"
2.76265,1.592644020960114,3.0,2.40625,0.1,,1.75,"phi=0.1,k=-0.05"
3.02185,1.7041339670049418,3.0,2.5953,0.25,,1.75,"phi=0.25,k=-0.125"
3.32125,2.0275227341512103,3.0,2.7242,0.5,,1.75,"phi=0.5,k=-0.25"
3.85995,2.8648099409035845,3.0,2.77578,0.9,,1.75,"phi=0.9,k=-0.45"
2.2621,1.263686507801678,2.0,2.40625,0.1,,2.0,"phi=0.1,k=-0.05"
2.4747,1.3508737579803674,2.0,2.5953,0.25,,2.0,"phi=0.25,k=-0.125"
2.66385,1.5127303717120248,2.0,2.7242,0.5,,2.0,"phi=0.5,k=-0.25"
2.9235,1.9624086602947917,2.0,2.77578,0.9,,2.0,"phi=0.9,k=-0.45"
1.9145,1.032370936243364,2.0,2.40625,0.1,,2.25,"phi=0.1,k=-0.05"
2.0788,1.0893073762717298,2.0,2.5953,0.25,,2.25,"phi=0.25,k=-0.125"
2.19955,1.1762354345538142,2.0,2.7242,0.5,,2.25,"phi=0.5,k=-0.25"
2.3356,1.429360920131791,2.0,2.77578,0.9,,2.25,"phi=0.9,k=-0.45"
1.6581,0.846465823291171,1.0,2.40625,0.1,,2.5,"phi=0.1,k=-0.05"
1.7887,0.901805028817205,2.0,2.5953,0.25,,2.5,"phi=0.25,k=-0.125"
1.876,0.9482742219421553,2.0,2.7242,0.5,,2.5,"phi=0.5,k=-0.25"
1.94285,1.085487852304207,2.0,2.77578,0.9,,2.5,"phi=0.9,k=-0.45"
1.4711,0.707506035309947,1.0,2.40625,0.1,,2.75,"phi=0.1,k=-0.05"
1.5713,0.756515902013963,1.0,2.5953,0.25,,2.75,"phi=0.25,k=-0.125"
1.64505,0.7883910815705617,1.0,2.7242,0.5,,2.75,"phi=0.5,k=-0.25"
1.68195,0.8410672966534842,2.0,2.77578,0.9,,2.75,"phi=0.9,k=-0.45"
1.32675,0.5786920057336199,1.0,2.40625,0.1,,3.0,"phi=0.1,k=-0.05"
1.4132,0.6346382906821806,1.0,2.5953,0.25,,3.0,"phi=0.25,k=-0.125"
1.46825,0.6636203263161851,1.0,2.7242,0.5,,3.0,"phi=0.5,k=-0.25"
1.48565,0.680950862764708,1.0,2.77578,0.9,,3.0,"phi=0.9,k=-0.45"
