ARL,SDRL,MRL,L,Phi,k,Delta,Parameter_string
198.99246,154.33736010165654,168.0,2.31722,0.1,,0.0,"phi=0.1,k=-0.05"
200.73658,170.20649608608832,155.0,2.68838,0.25,,0.0,"phi=0.25,k=-0.125"
209.77766,194.9794478013629,150.0,2.78438,0.5,,0.0,"phi=0.5,k=-0.25"
200.47404,193.45720644648625,141.0,2.78543,0.9,,0.0,"phi=0.9,k=-0.45"
52.67616,40.239363410153494,43.0,2.31722,0.1,,0.25,"phi=0.1,k=-0.05"
62.5215,47.959862153158866,50.0,2.68838,0.25,,0.25,"phi=0.25,k=-0.125"
86.30266,77.56323727723334,64.0,2.78438,0.5,,0.25,"phi=0.5,k=-0.25"
124.8361,121.91672500846633,87.0,2.78543,0.9,,0.25,"phi=0.9,k=-0.45"
20.69796,13.634610806267995,18.0,2.31722,0.1,,0.5,"phi=0.1,k=-0.05"
24.50724,15.626291549257617,21.0,2.68838,0.25,,0.5,"phi=0.25,k=-0.125"
31.97146,25.221667777298155,25.0,2.78438,0.5,,0.5,"phi=0.5,k=-0.25"
54.3324,52.45578547920143,38.0,2.78543,0.9,,0.5,"phi=0.9,k=-0.45"
11.68588,6.838167051600889,10.0,2.31722,0.1,,0.75,"phi=0.1,k=-0.05"
13.7299,7.7111805834126335,12.0,2.68838,0.25,,0.75,"phi=0.25,k=-0.125"
16.2769,11.185903020766808,14.0,2.78438,0.5,,0.75,"phi=0.5,k=-0.25"
25.7987,23.855750214780507,19.0,2.78543,0.9,,0.75,"phi=0.9,k=-0.45"
7.86656,4.233895814306252,7.0,2.31722,0.1,,1.0,"phi=0.1,k=-0.05"
9.13598,4.598518178674517,8.0,2.68838,0.25,,1.0,"phi=0.25,k=-0.125"
10.03196,6.065869975395121,9.0,2.78438,0.5,,1.0,"phi=0.5,k=-0.25"
13.93668,12.274891061740629,10.0,2.78543,0.9,,1.0,"phi=0.9,k=-0.45"
5.84502,3.0174958491437893,6.0,2.31722,0.1,,1.25,"phi=0.1,k=-0.05"
6.71008,3.181871523741963,6.0,2.68838,0.25,,1.25,"phi=0.25,k=-0.125"
7.0079,3.8748106521480503,6.0,2.78438,0.5,,1.25,"phi=0.5,k=-0.25"
8.45314,6.9323418943673,7.0,2.78543,0.9,,1.25,"phi=0.9,k=-0.45"
4.58216,2.4145827246959253,5.0,2.31722,0.1,,1.5,"phi=0.1,k=-0.05"
5.23662,2.416946622414322,5.0,2.68838,0.25,,1.5,"phi=0.25,k=-0.125"
5.26598,2.7150828052934224,5.0,2.78438,0.5,,1.5,"phi=0.5,k=-0.25"
5.62974,4.246872676735199,4.0,2.78543,0.9,,1.5,"phi=0.9,k=-0.45"
3.71516,2.044902485303395,4.0,2.31722,0.1,,1.75,"phi=0.1,k=-0.05"
4.23688,2.013883776586921,4.0,2.68838,0.25,,1.75,"phi=0.25,k=-0.125"
4.15668,2.093573829030159,4.0,2.78438,0.5,,1.75,"phi=0.5,k=-0.25"
4.03772,2.8457296430968277,3.0,2.78543,0.9,,1.75,"phi=0.9,k=-0.45"
3.07058,1.8056905780337893,4.0,2.31722,0.1,,2.0,"phi=0.1,k=-0.05"
3.52616,1.749261459702351,4.0,2.68838,0.25,,2.0,"phi=0.25,k=-0.125"
3.413,1.710400830214953,3.0,2.78438,0.5,,2.0,"phi=0.5,k=-0.25"
3.07924,2.012471371821224,3.0,2.78543,0.9,,2.0,"phi=0.9,k=-0.45"
2.56456,1.6048027936167109,3.0,2.31722,0.1,,2.25,"phi=0.1,k=-0.05"
2.96638,1.5722498833200784,3.0,2.68838,0.25,,2.25,"phi=0.25,k=-0.125"
2.85676,1.4607540184438994,3.0,2.78438,0.5,,2.25,"phi=0.5,k=-0.25"
2.46362,1.5041663789621147,2.0,2.78543,0.9,,2.25,"phi=0.9,k=-0.45"
2.15664,1.4235954166827034,1.0,2.31722,0.1,,2.5,"phi=0.1,k=-0.05"
2.51832,1.422175930607743,3.0,2.68838,0.25,,2.5,"phi=0.25,k=-0.125"
2.4406,1.2854694239848727,3.0,2.78438,0.5,,2.5,"phi=0.5,k=-0.25"
2.0378,1.1620547147187177,2.0,2.78543,0.9,,2.5,"phi=0.9,k=-0.45"
1.83584,1.2377606773524517,1.0,2.31722,0.1,,2.75,"phi=0.1,k=-0.05"
2.15382,1.2801872548967201,1.0,2.68838,0.25,,2.75,"phi=0.25,k=-0.125"
2.09838,1.1520162219343963,2.0,2.78438,0.5,,2.75,"phi=0.5,k=-0.25"
1.74078,0.9100027426332297,2.0,2.78543,0.9,,2.75,"phi=0.9,k=-0.45"
1.5875,1.0560036695012003,1.0,2.31722,0.1,,3.0,"phi=0.1,k=-0.05"
1.8524,1.1389706932138333,1.0,2.68838,0.25,,3.0,"phi=0.25,k=-0.125"
1.8186,1.031743204484527,1.0,2.78438,0.5,,3.0,"phi=0.5,k=-0.25"
1.53058,0.7364135139987588,1.0,2.78543,0.9,,3.0,"phi=0.9,k=-0.45"
