Tau,ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
1,57.9984,55.48770852576271,41.0,2.47833,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
1,52.4081,47.28293301382646,39.0,2.49,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
1,69.6506,39.76578830653305,62.0,2.54,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
1,79.541,78.0165848970589,55.0,2.7,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
1,74.2607,71.41787546202981,52.0,2.703,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
1,71.5229,57.58357817633427,55.0,2.73,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
11,60.783,55.900578807379084,44.0,2.47833,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
11,54.4171,47.57145917028402,41.0,2.49,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
11,67.387,40.67608180491331,60.0,2.54,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
11,80.1593,77.73291917527605,57.0,2.7,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
11,74.2917,71.06982771267988,53.0,2.703,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
11,68.5278,57.615017375333665,52.0,2.73,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
21,61.0532,56.04684085441391,44.0,2.47833,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
21,55.0063,47.89015201802975,42.0,2.49,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
21,65.379,40.97465019984917,58.0,2.54,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
21,80.2136,77.52647789652255,57.0,2.7,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
21,74.0788,70.63696192900711,52.0,2.703,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
21,66.9461,57.48974860607759,51.0,2.73,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
31,61.1535,56.076292118416674,45.0,2.47833,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
31,55.635,47.75616373830712,43.0,2.49,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
