Tau,ARL,SDRL,MRL,L,Phi,Phi2,Delta,Parameter_string
1,57.8171,41.44846013532951,48.0,2.50028,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
1,59.8224,43.12378297691426,50.0,2.52412,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
1,62.599,45.9459856679558,52.0,2.58375,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
1,73.11,61.22718758852149,56.0,2.772,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
1,74.5837,62.953817948635965,57.0,2.75437,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
1,82.2132,71.63419815814231,62.0,2.74474,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
11,62.6414,43.34918691325132,54.0,2.50028,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
11,64.2095,44.78605597448831,55.0,2.52412,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
11,68.011,48.25424001059388,57.0,2.58375,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
11,78.7932,64.35699055860209,62.0,2.772,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
11,80.8876,66.86258270692211,64.0,2.75437,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
11,89.13,74.92335617149034,69.0,2.74474,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
21,64.2357,44.78161392256871,55.0,2.50028,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
21,66.7268,46.86247925323627,57.0,2.52412,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
21,70.9568,50.280426944885825,60.0,2.58375,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
21,82.6966,66.84699505916477,67.0,2.772,0.25,0.05,0.25,"phi=0.25,phi2=0.05"
21,84.8606,69.84568395856684,68.0,2.75437,0.25,0.1,0.25,"phi=0.25,phi2=0.1"
21,93.9907,78.55014712596024,74.0,2.74474,0.25,0.2,0.25,"phi=0.25,phi2=0.2"
31,65.4958,46.73681613417841,56.0,2.50028,0.1,0.01,0.25,"phi=0.1,phi2=0.01"
31,68.3324,48.644293706867614,59.0,2.52412,0.1,0.05,0.25,"phi=0.1,phi2=0.05"
31,73.2806,52.00872872547453,63.0,2.58375,0.1,0.09,0.25,"phi=0.1,phi2=0.09"
