Tau,ARL,SDRL,MRL,L,Phi,Delta,Parameter_string
1,59.9307,57.436872281749466,43.0,2.483,0.1,0.25,phi=0.1
1,83.5693,81.48899801513085,58.0,2.687,0.25,0.25,phi=0.25
11,62.6249,57.78524552158622,45.0,2.483,0.1,0.25,phi=0.1
11,84.0767,81.31471955992961,59.0,2.687,0.25,0.25,phi=0.25
21,62.6504,57.58644962002781,46.0,2.483,0.1,0.25,phi=0.1
21,83.6501,81.27029635721775,58.5,2.687,0.25,0.25,phi=0.25
31,62.5689,57.57407795866123,46.0,2.483,0.1,0.25,phi=0.1
31,84.1211,81.59438850061933,60.0,2.687,0.25,0.25,phi=0.25
41,62.9176,57.64949618374822,46.0,2.483,0.1,0.25,phi=0.1
41,84.9896,82.40063040923899,60.0,2.687,0.25,0.25,phi=0.25
51,62.7362,57.28563702674519,46.0,2.483,0.1,0.25,phi=0.1
51,84.5832,81.89742900579968,59.0,2.687,0.25,0.25,phi=0.25
61,62.5433,57.65529745921012,45.0,2.483,0.1,0.25,phi=0.1
61,85.2335,82.43909495955181,60.0,2.687,0.25,0.25,phi=0.25
71,62.8703,57.33249931679239,45.0,2.483,0.1,0.25,phi=0.1
71,84.4816,82.1820701944165,59.0,2.687,0.25,0.25,phi=0.25
81,63.0067,57.16294127413319,45.0,2.483,0.1,0.25,phi=0.1
81,85.0132,81.70381402211282,59.0,2.687,0.25,0.25,phi=0.25
91,62.1711,56.843026175512506,45.0,2.483,0.1,0.25,phi=0.1
91,84.5424,81.33317282781978,60.0,2.687,0.25,0.25,phi=0.25
101,62.3028,57.00601119320664,46.0,2.483,0.1,0.25,phi=0.1
101,84.6894,81.64850229881746,60.0,2.687,0.25,0.25,phi=0.25
1,1.3325,0.5436393565591071,1.0,2.483,0.1,3.0,phi=0.1
1,1.4291,0.6121872180959025,1.0,2.687,0.25,3.0,phi=0.25
11,2.4667,0.9018265409711559,2.0,2.483,0.1,3.0,phi=0.1
11,1.9952,0.7327871177906993,2.0,2.687,0.25,3.0,phi=0.25
21,2.5288,0.9254029176526299,2.0,2.483,0.1,3.0,phi=0.1
21,2.0044,0.7370078968369335,2.0,2.687,0.25,3.0,phi=0.25
31,2.5348,0.9308001718951281,2.0,2.483,0.1,3.0,phi=0.1
31,2.0002,0.7362064656059467,2.0,2.687,0.25,3.0,phi=0.25
41,2.5338,0.9431105767618132,2.0,2.483,0.1,3.0,phi=0.1
41,1.986,0.7417573727304637,2.0,2.687,0.25,3.0,phi=0.25
51,2.5483,0.9460798644934794,2.0,2.483,0.1,3.0,phi=0.1
51,2.0056,0.7327814408130162,2.0,2.687,0.25,3.0,phi=0.25
61,2.5413,0.9333243326946962,2.0,2.483,0.1,3.0,phi=0.1
61,2.0038,0.7395847213132516,2.0,2.687,0.25,3.0,phi=0.25
71,2.5475,0.9375199997866712,3.0,2.483,0.1,3.0,phi=0.1
71,2.0094,0.7366896497168941,2.0,2.687,0.25,3.0,phi=0.25
81,2.5565,0.9234759065617251,3.0,2.483,0.1,3.0,phi=0.1
81,2.0017,0.7346408033862536,2.0,2.687,0.25,3.0,phi=0.25
91,2.5604,0.9327120884817566,3.0,2.483,0.1,3.0,phi=0.1
91,1.9949,0.7407253134597197,2.0,2.687,0.25,3.0,phi=0.25
101,2.5393,0.9264208061135069,2.0,2.483,0.1,3.0,phi=0.1
101,1.9972,0.7425578495982653,2.0,2.687,0.25,3.0,phi=0.25
