Tau,ARL,SDRL,MRL,L,Phi,k,Delta,Parameter_string
1,60.213,57.93598390465118,43.0,2.40625,0.1,,0.25,"phi=0.1,k=-0.05"
1,81.2868,78.93168530925968,57.0,2.5953,0.25,,0.25,"phi=0.25,k=-0.125"
11,62.7227,58.200170143308,45.0,2.40625,0.1,,0.25,"phi=0.1,k=-0.05"
11,81.2906,77.89024940029401,58.0,2.5953,0.25,,0.25,"phi=0.25,k=-0.125"
21,62.8903,58.167909244788916,46.0,2.40625,0.1,,0.25,"phi=0.1,k=-0.05"
21,81.2678,77.41289093658756,58.0,2.5953,0.25,,0.25,"phi=0.25,k=-0.125"
31,62.7236,57.79787714994384,46.0,2.40625,0.1,,0.25,"phi=0.1,k=-0.05"
31,81.5499,77.82510976535787,59.0,2.5953,0.25,,0.25,"phi=0.25,k=-0.125"
41,63.141,58.02034745673279,46.0,2.40625,0.1,,0.25,"phi=0.1,k=-0.05"
41,81.924,78.27717179356955,58.0,2.5953,0.25,,0.25,"phi=0.25,k=-0.125"
51,62.8971,57.80441429155736,46.0,2.40625,0.1,,0.25,"phi=0.1,k=-0.05"
51,81.4452,77.92771905400542,57.0,2.5953,0.25,,0.25,"phi=0.25,k=-0.125"
61,63.1135,58.30115279949446,45.0,2.40625,0.1,,0.25,"phi=0.1,k=-0.05"
61,81.3355,77.93185189478048,57.0,2.5953,0.25,,0.25,"phi=0.25,k=-0.125"
71,62.7948,57.75881138804711,45.0,2.40625,0.1,,0.25,"phi=0.1,k=-0.05"
71,80.8621,77.3736446316832,57.0,2.5953,0.25,,0.25,"phi=0.25,k=-0.125"
81,63.5428,57.63852503456348,46.0,2.40625,0.1,,0.25,"phi=0.1,k=-0.05"
81,81.5733,78.02335308809792,58.0,2.5953,0.25,,0.25,"phi=0.25,k=-0.125"
91,62.5016,57.53721228422524,45.0,2.40625,0.1,,0.25,"phi=0.1,k=-0.05"
91,81.0989,77.65609904437642,58.0,2.5953,0.25,,0.25,"phi=0.25,k=-0.125"
101,63.1544,57.78870789903508,46.0,2.40625,0.1,,0.25,"phi=0.1,k=-0.05"
101,81.3544,77.78975511363949,57.0,2.5953,0.25,,0.25,"phi=0.25,k=-0.125"
1,1.3238,0.575633181809388,1.0,2.40625,0.1,,3.0,"phi=0.1,k=-0.05"
1,1.4069,0.6305016970635369,1.0,2.5953,0.25,,3.0,"phi=0.25,k=-0.125"
11,2.8324,0.8830120270981592,3.0,2.40625,0.1,,3.0,"phi=0.1,k=-0.05"
11,2.3482,0.6670507926687443,2.0,2.5953,0.25,,3.0,"phi=0.25,k=-0.125"
21,2.9029,0.9094347640155395,3.0,2.40625,0.1,,3.0,"phi=0.1,k=-0.05"
21,2.352,0.6766801312289286,2.0,2.5953,0.25,,3.0,"phi=0.25,k=-0.125"
31,2.9197,0.9123880260064793,3.0,2.40625,0.1,,3.0,"phi=0.1,k=-0.05"
31,2.3636,0.6706676076865499,2.0,2.5953,0.25,,3.0,"phi=0.25,k=-0.125"
41,2.9189,0.9183260804311286,3.0,2.40625,0.1,,3.0,"phi=0.1,k=-0.05"
41,2.36,0.6745368781616021,2.0,2.5953,0.25,,3.0,"phi=0.25,k=-0.125"
51,2.9291,0.92437719032871,3.0,2.40625,0.1,,3.0,"phi=0.1,k=-0.05"
51,2.3542,0.6737524471198602,2.0,2.5953,0.25,,3.0,"phi=0.25,k=-0.125"
61,2.9262,0.9258258799579973,3.0,2.40625,0.1,,3.0,"phi=0.1,k=-0.05"
61,2.3568,0.6784495264940495,2.0,2.5953,0.25,,3.0,"phi=0.25,k=-0.125"
71,2.9255,0.9198639845107537,3.0,2.40625,0.1,,3.0,"phi=0.1,k=-0.05"
71,2.3577,0.6771637246633934,2.0,2.5953,0.25,,3.0,"phi=0.25,k=-0.125"
81,2.9147,0.9254317424856358,3.0,2.40625,0.1,,3.0,"phi=0.1,k=-0.05"
81,2.3532,0.6739805338435227,2.0,2.5953,0.25,,3.0,"phi=0.25,k=-0.125"
91,2.9246,0.9236421601464498,3.0,2.40625,0.1,,3.0,"phi=0.1,k=-0.05"
91,2.3484,0.6694904330907201,2.0,2.5953,0.25,,3.0,"phi=0.25,k=-0.125"
101,2.9237,0.9152476768612964,3.0,2.40625,0.1,,3.0,"phi=0.1,k=-0.05"
101,2.3486,0.6633837803262905,2.0,2.5953,0.25,,3.0,"phi=0.25,k=-0.125"
