Tau,ARL,SDRL,MRL,MIN,MAX,Q25,Q75,L,Phi,Delta,Parameter_string,Distribution,Phi2
1,201.7425,150.29985227454483,170.0,21.0,492.0,88.0,284.0,2.50028,0.1,0,"phi=0.1,phi2=0.01","N(0,1)",0.01
1,198.172,150.23029193874316,164.0,22.0,486.0,85.0,275.0,2.52412,0.1,0,"phi=0.1,phi2=0.05","N(0,1)",0.05
1,199.5604,155.29505256716968,161.0,24.0,508.0499999999993,84.0,274.0,2.58375,0.1,0,"phi=0.1,phi2=0.09","N(0,1)",0.09
1,208.7948,182.76919787797942,156.0,20.0,580.0499999999993,75.0,286.25,2.772,0.25,0,"phi=0.25,phi2=0.05","N(0,1)",0.05
1,198.9759,176.36974831072928,148.0,19.0,556.0499999999993,71.0,274.0,2.75437,0.25,0,"phi=0.25,phi2=0.1","N(0,1)",0.1
1,193.7784,174.20467701367838,142.0,18.0,551.0499999999993,67.0,268.0,2.74474,0.25,0,"phi=0.25,phi2=0.2","N(0,1)",0.2
1,100.8602,71.49869828157713,90.0,8.0,235.04999999999927,47.0,142.0,2.50028,0.1,0,"phi=0.1,phi2=0.01",t(10),0.01
1,103.5429,75.46516785636933,89.0,10.0,249.0,47.0,145.0,2.52412,0.1,0,"phi=0.1,phi2=0.05",t(10),0.05
1,103.5287,77.20015528682569,87.0,10.0,252.0,47.0,142.0,2.58375,0.1,0,"phi=0.1,phi2=0.09",t(10),0.09
1,72.1457,58.9793410569328,56.0,9.0,188.0,29.0,99.0,2.772,0.25,0,"phi=0.25,phi2=0.05",t(10),0.05
1,73.1994,61.4786681674221,56.0,9.0,193.0,29.0,99.0,2.75437,0.25,0,"phi=0.25,phi2=0.1",t(10),0.1
1,77.2504,67.44091265574629,58.0,9.0,212.04999999999927,30.0,105.0,2.74474,0.25,0,"phi=0.25,phi2=0.2",t(10),0.2
1,9.0551,4.5868795482332,9.0,1.0,17.0,6.0,12.0,2.50028,0.1,0,"phi=0.1,phi2=0.01","GAM(1,1)",0.01
1,9.3007,4.649997796773672,9.0,1.0,17.0,6.0,12.0,2.52412,0.1,0,"phi=0.1,phi2=0.05","GAM(1,1)",0.05
1,9.8189,4.960332931366604,9.0,1.0,18.049999999999272,7.0,13.0,2.58375,0.1,0,"phi=0.1,phi2=0.09","GAM(1,1)",0.09
1,9.9871,5.641518730802903,9.0,1.0,20.0,6.0,13.0,2.772,0.25,0,"phi=0.25,phi2=0.05","GAM(1,1)",0.05
1,10.2443,5.889313840338278,9.0,1.0,21.0,6.0,13.0,2.75437,0.25,0,"phi=0.25,phi2=0.1","GAM(1,1)",0.1
1,11.5159,7.215826161292967,10.0,1.0,25.0,7.0,15.0,2.74474,0.25,0,"phi=0.25,phi2=0.2","GAM(1,1)",0.2
1,1.0006,0.034635819609184944,1.0,1.0,1.0,1.0,1.0,2.50028,0.1,0,"phi=0.1,phi2=0.01","GAM(10,1)",0.01
1,1.0006,0.034635819609184944,1.0,1.0,1.0,1.0,1.0,2.52412,0.1,0,"phi=0.1,phi2=0.05","GAM(10,1)",0.05
1,1.0006,0.034635819609184944,1.0,1.0,1.0,1.0,1.0,2.58375,0.1,0,"phi=0.1,phi2=0.09","GAM(10,1)",0.09
1,1.0005,0.02235508890610816,1.0,1.0,1.0,1.0,1.0,2.772,0.25,0,"phi=0.25,phi2=0.05","GAM(10,1)",0.05
1,1.0005,0.02235508890610816,1.0,1.0,1.0,1.0,1.0,2.75437,0.25,0,"phi=0.25,phi2=0.1","GAM(10,1)",0.1
1,1.0006,0.028277906570324477,1.0,1.0,1.0,1.0,1.0,2.74474,0.25,0,"phi=0.25,phi2=0.2","GAM(10,1)",0.2
1,5.3786,3.090026219953481,5.0,1.0,11.0,3.0,7.0,2.50028,0.1,0,"phi=0.1,phi2=0.01","LogN(0,1)",0.01
1,5.5133,3.1370723788271127,5.0,1.0,11.0,3.0,8.0,2.52412,0.1,0,"phi=0.1,phi2=0.05","LogN(0,1)",0.05
1,5.7622,3.2859475284915916,6.0,1.0,11.0,4.0,8.0,2.58375,0.1,0,"phi=0.1,phi2=0.09","LogN(0,1)",0.09
1,5.6934,3.4518975129629785,5.0,1.0,12.0,3.0,8.0,2.772,0.25,0,"phi=0.25,phi2=0.05","LogN(0,1)",0.05
1,5.7562,3.5179200616273247,5.0,1.0,12.0,3.0,8.0,2.75437,0.25,0,"phi=0.25,phi2=0.1","LogN(0,1)",0.1
1,6.1328,3.895710995441012,6.0,1.0,13.0,4.0,8.0,2.74474,0.25,0,"phi=0.25,phi2=0.2","LogN(0,1)",0.2
1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.50028,0.1,0,"phi=0.1,phi2=0.01",X2(30),0.01
1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.52412,0.1,0,"phi=0.1,phi2=0.05",X2(30),0.05
1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.58375,0.1,0,"phi=0.1,phi2=0.09",X2(30),0.09
1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.772,0.25,0,"phi=0.25,phi2=0.05",X2(30),0.05
1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.75437,0.25,0,"phi=0.25,phi2=0.1",X2(30),0.1
1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.74474,0.25,0,"phi=0.25,phi2=0.2",X2(30),0.2
