Tau,ARL,SDRL,MRL,MIN,MAX,Q25,Q75,L,Phi,Delta,Parameter_string,Distribution,Phi2
1,201.7425,150.29985227454483,170.0,21.0,492.0,88.0,284.0,2.50028,0.1,0,"phi=0.1,phi2=0.01","N(0,1)",0.01
1,198.172,150.23029193874316,164.0,22.0,486.0,85.0,275.0,2.52412,0.1,0,"phi=0.1,phi2=0.05","N(0,1)",0.05
1,199.5604,155.29505256716968,161.0,24.0,508.0499999999993,84.0,274.0,2.58375,0.1,0,"phi=0.1,phi2=0.09","N(0,1)",0.09
1,208.7948,182.76919787797942,156.0,20.0,580.0499999999993,75.0,286.25,2.772,0.25,0,"phi=0.25,phi2=0.05","N(0,1)",0.05
1,198.9759,176.36974831072928,148.0,19.0,556.0499999999993,71.0,274.0,2.75437,0.25,0,"phi=0.25,phi2=0.1","N(0,1)",0.1
1,193.7784,174.20467701367838,142.0,18.0,551.0499999999993,67.0,268.0,2.74474,0.25,0,"phi=0.25,phi2=0.2","N(0,1)",0.2
1,146.4194,103.07193072626514,127.0,16.0,341.0,70.0,202.0,2.50028,0.1,0,"phi=0.1,phi2=0.01",t(10),0.01
1,154.3204,112.0888154270532,133.0,17.0,370.0,72.0,212.0,2.52412,0.1,0,"phi=0.1,phi2=0.05",t(10),0.05
1,161.7564,122.0671203028891,134.0,19.0,402.0,72.0,221.0,2.58375,0.1,0,"phi=0.1,phi2=0.09",t(10),0.09
1,117.963,101.74327609724389,90.0,14.0,317.0,45.0,160.0,2.772,0.25,0,"phi=0.25,phi2=0.05",t(10),0.05
1,122.1657,107.24058766861546,92.0,14.0,332.0,46.0,166.0,2.75437,0.25,0,"phi=0.25,phi2=0.1",t(10),0.1
1,136.3852,122.44414980292035,100.0,14.0,385.0,50.0,187.0,2.74474,0.25,0,"phi=0.25,phi2=0.2",t(10),0.2
1,125.592,97.71514281829609,104.0,9.0,314.0,55.0,173.0,2.50028,0.1,0,"phi=0.1,phi2=0.01","GAM(1,1)",0.01
1,122.9357,91.80563580472607,104.0,12.0,300.0499999999993,56.0,167.0,2.52412,0.1,0,"phi=0.1,phi2=0.05","GAM(1,1)",0.05
1,112.7404,81.02150460118597,96.0,12.950000000000045,269.0,55.0,151.0,2.58375,0.1,0,"phi=0.1,phi2=0.09","GAM(1,1)",0.09
1,73.9261,62.61184902867827,57.0,8.0,198.0,28.0,101.0,2.772,0.25,0,"phi=0.25,phi2=0.05","GAM(1,1)",0.05
1,78.4926,67.44148386001008,60.0,8.0,211.04999999999927,30.0,107.0,2.75437,0.25,0,"phi=0.25,phi2=0.1","GAM(1,1)",0.1
1,86.8006,76.12817113027214,66.0,8.0,237.0,33.0,118.0,2.74474,0.25,0,"phi=0.25,phi2=0.2","GAM(1,1)",0.2
1,189.0317,148.72603368311144,155.0,19.0,485.0499999999993,78.0,262.0,2.50028,0.1,0,"phi=0.1,phi2=0.01","GAM(10,1)",0.01
1,179.897,135.76029460412937,151.0,21.0,441.0,77.0,249.0,2.52412,0.1,0,"phi=0.1,phi2=0.05","GAM(10,1)",0.05
1,174.8731,133.7298552918906,144.0,22.0,438.0,77.0,239.0,2.58375,0.1,0,"phi=0.1,phi2=0.09","GAM(10,1)",0.09
1,155.4034,140.72474504663347,114.0,16.0,437.0,54.0,210.0,2.772,0.25,0,"phi=0.25,phi2=0.05","GAM(10,1)",0.05
1,155.8281,142.8286363107553,115.0,15.0,436.0,54.0,210.0,2.75437,0.25,0,"phi=0.25,phi2=0.1","GAM(10,1)",0.1
1,156.8092,139.02835104884184,118.0,16.0,435.0,55.0,215.0,2.74474,0.25,0,"phi=0.25,phi2=0.2","GAM(10,1)",0.2
1,111.6746,86.79090456286303,92.0,10.0,282.0,48.0,153.0,2.50028,0.1,0,"phi=0.1,phi2=0.01","LogN(0,1)",0.01
1,114.7555,87.77226737272998,95.0,11.0,285.0,50.0,158.0,2.52412,0.1,0,"phi=0.1,phi2=0.05","LogN(0,1)",0.05
1,106.5766,76.57655732951176,91.0,11.0,251.0,51.0,145.0,2.58375,0.1,0,"phi=0.1,phi2=0.09","LogN(0,1)",0.09
1,70.7807,62.36236050303099,53.0,7.0,196.0,26.0,96.0,2.772,0.25,0,"phi=0.25,phi2=0.05","LogN(0,1)",0.05
1,74.372,66.17098772120603,55.0,7.0,208.0,27.0,102.0,2.75437,0.25,0,"phi=0.25,phi2=0.1","LogN(0,1)",0.1
1,85.1595,76.29186365366887,64.0,7.9500000000000455,236.0,30.0,116.0,2.74474,0.25,0,"phi=0.25,phi2=0.2","LogN(0,1)",0.2
1,194.7688,150.5007081264404,161.0,20.0,487.0,82.0,271.0,2.50028,0.1,0,"phi=0.1,phi2=0.01",X2(30),0.01
1,186.4553,140.9999446876133,157.0,20.0,456.0,80.0,258.0,2.52412,0.1,0,"phi=0.1,phi2=0.05",X2(30),0.05
1,182.2194,139.78458521467954,151.0,22.0,462.0,78.0,250.0,2.58375,0.1,0,"phi=0.1,phi2=0.09",X2(30),0.09
1,168.946,152.36194696839496,126.0,17.0,478.0,59.0,228.0,2.772,0.25,0,"phi=0.25,phi2=0.05",X2(30),0.05
1,167.6276,152.36093435733451,125.0,17.0,472.0,59.0,227.0,2.75437,0.25,0,"phi=0.25,phi2=0.1",X2(30),0.1
1,166.6184,149.41095134373518,123.0,17.0,466.0,58.0,229.0,2.74474,0.25,0,"phi=0.25,phi2=0.2",X2(30),0.2
