Tau,ARL,SDRL,MRL,MIN,MAX,Q25,Q75,L,Phi,Delta,Parameter_string,Distribution,k
1,196.8926,152.40419897509383,166.0,12.0,486.0,76.0,286.0,2.31722,0.1,0,"phi=0.1,k=-0.05","N(0,1)",
1,199.4592,168.5069053046788,155.0,20.0,530.0,76.0,272.0,2.68838,0.25,0,"phi=0.25,k=-0.125","N(0,1)",
1,113.264,91.55475249270242,95.0,4.0,289.0,38.0,169.0,2.31722,0.1,0,"phi=0.1,k=-0.05",t(10),
1,89.5979,72.39933850243385,72.0,8.0,231.0,35.0,125.0,2.68838,0.25,0,"phi=0.25,k=-0.125",t(10),
1,8.2546,4.276210803971198,8.0,1.0,16.0,5.0,11.0,2.31722,0.1,0,"phi=0.1,k=-0.05","GAM(1,1)",
1,9.5332,5.162218298367476,9.0,1.0,19.0,6.0,12.0,2.68838,0.25,0,"phi=0.25,k=-0.125","GAM(1,1)",
1,1.0004,0.02828144267890165,1.0,1.0,1.0,1.0,1.0,2.31722,0.1,0,"phi=0.1,k=-0.05","GAM(10,1)",
1,1.0006,0.03161708398951428,1.0,1.0,1.0,1.0,1.0,2.68838,0.25,0,"phi=0.25,k=-0.125","GAM(10,1)",
1,5.0952,2.951192464072786,5.0,1.0,10.0,3.0,7.0,2.31722,0.1,0,"phi=0.1,k=-0.05","LogN(0,1)",
1,5.5175,3.292277896836778,5.0,1.0,11.0,3.0,8.0,2.68838,0.25,0,"phi=0.25,k=-0.125","LogN(0,1)",
1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.31722,0.1,0,"phi=0.1,k=-0.05",X2(30),
1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.68838,0.25,0,"phi=0.25,k=-0.125",X2(30),
