Tau,ARL,SDRL,MRL,MIN,MAX,Q25,Q75,L,Phi,Delta,Parameter_string,Distribution,k
1,196.8926,152.40419897509383,166.0,12.0,486.0,76.0,286.0,2.31722,0.1,0,"phi=0.1,k=-0.05","N(0,1)",
1,199.4592,168.5069053046788,155.0,20.0,530.0,76.0,272.0,2.68838,0.25,0,"phi=0.25,k=-0.125","N(0,1)",
1,169.9512,130.99858403265281,146.0,8.950000000000045,416.0,66.0,245.0,2.31722,0.1,0,"phi=0.1,k=-0.05",t(10),
1,148.6427,122.70725747367186,117.0,15.0,390.0,58.0,207.0,2.68838,0.25,0,"phi=0.25,k=-0.125",t(10),
1,172.0587,150.93177085792772,134.0,4.0,472.0,58.0,246.0,2.31722,0.1,0,"phi=0.1,k=-0.05","GAM(1,1)",
1,116.6357,104.98475596728318,87.0,7.0,328.0,41.0,161.0,2.68838,0.25,0,"phi=0.25,k=-0.125","GAM(1,1)",
1,197.1425,155.76089109192333,165.0,11.0,502.0,74.0,285.0,2.31722,0.1,0,"phi=0.1,k=-0.05","GAM(10,1)",
1,185.3675,164.73205712231606,139.0,17.0,515.0,66.0,252.0,2.68838,0.25,0,"phi=0.25,k=-0.125","GAM(10,1)",
1,158.8453,143.6417960341279,121.0,6.0,442.0499999999993,51.0,227.0,2.31722,0.1,0,"phi=0.1,k=-0.05","LogN(0,1)",
1,107.9611,99.14854707351995,81.0,7.0,307.0,36.0,150.0,2.68838,0.25,0,"phi=0.25,k=-0.125","LogN(0,1)",
1,197.2722,156.2948044790997,165.0,11.0,498.0499999999993,74.0,287.0,2.31722,0.1,0,"phi=0.1,k=-0.05",X2(30),
1,189.5298,166.13631605389594,145.0,17.950000000000045,521.0,68.0,258.25,2.68838,0.25,0,"phi=0.25,k=-0.125",X2(30),
